energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys
38.8,195688263,230,1480,884,596,49413429,35030671935,19994387290,975028667,25213768320,12630.62,35132332911,12.589845,0.047776
37.17,151749260,196,1481,885,596,42151207,29835160926,17105231559,845357866,21629162040,10834.93,29805559829,10.814861,0.026393
35.72,75783022,85,1477,881,596,58012223,41678285706,23722092568,948159710,29981825540,15019.15,41574267271,15.003355,0.016801
30.6,71869558,95,1484,888,596,12648814,9906271006,5741699863,297369935,7254139860,3633.89,10045458939,3.623582,0.013568
32.2,81189476,118,1481,885,596,19751642,14951487964,8598971106,416463499,10842754880,5431.58,15024670339,5.411812,0.023637
35.37,136967894,166,1483,887,596,37426276,25003545645,14265446241,786344192,18025409220,9029.65,24701249947,8.99755,0.037915
28.38,40915011,80,1479,883,596,7146317,4945014240,2889978060,137048197,3646142640,1826.5,5060581096,1.803223,0.025123
33.64,96366047,146,1482,886,596,30349599,19876665710,11460152830,527310354,14467284200,7247.24,20038118862,7.234067,0.017722
38.7,195127361,216,1481,885,596,48722092,34550817099,19932189762,1018262805,25220375440,12633.9,34500906856,12.61256,0.028842
37.34,175919368,191,1480,884,596,42654642,29675123780,17100682623,898254611,21650149020,10845.41,29553388574,10.819491,0.032613
