energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
63.24,0,0,134,0,0,8,0,95530,0,16,415,34,0,35,0,13,36,43275,0,108,20,0,104,0,40,52,16,1,3566,3,31,0,0,134,3295,14,0,291,1143,0,231,93,177,0,1,0,0,0,0,0,0,0,0,9048,0,85,4,0,4,101,0,30,0,0,0,15,2,73,26,2,0,0,36,0,0,45,11,8820,0
63.2,0,0,143,0,0,8,0,96081,0,15,430,34,0,35,0,14,36,42784,0,108,20,0,95,0,40,50,16,1,3572,3,33,0,0,134,3005,15,0,317,1048,0,242,94,187,0,1,0,0,0,0,0,0,0,0,9350,0,87,4,0,4,101,0,30,0,0,0,15,2,75,26,2,0,0,36,0,0,46,11,9088,0
65.8,0,0,170,0,0,10,0,134077,0,20,494,24,0,37,0,14,41,66230,0,120,22,0,3239,0,42,54,16,1,3875,15,3022,0,0,141,3878,23,0,151,1103,0,259,126,251,0,1,0,0,0,0,0,0,0,0,10070,0,138,4,0,4,118,0,45,0,0,0,17,2,78,28,14,1,0,41,0,0,61,11,9825,0
65.29,0,0,171,0,0,10,0,130410,0,19,495,23,0,37,0,14,42,65648,0,120,22,0,3232,0,42,50,16,1,4200,15,2914,0,0,148,3901,21,0,149,1111,0,253,127,250,0,1,0,0,0,0,0,0,0,0,9881,0,141,4,0,2,111,0,46,0,0,0,17,2,77,29,14,1,0,42,0,0,61,10,9582,0
65.87,0,0,172,0,0,11,0,130354,0,20,496,24,0,37,0,14,41,65529,0,120,22,0,3221,0,42,46,17,1,3894,15,2974,0,0,148,3755,22,0,143,1118,0,249,129,248,0,1,0,0,0,0,0,0,0,0,9844,0,146,4,0,4,115,0,47,0,0,0,18,2,77,31,14,1,0,41,0,0,61,11,9549,0
63.26,0,0,169,0,0,9,0,126059,0,19,498,22,0,37,0,15,42,63358,0,120,22,0,3046,0,41,52,15,1,3902,19,2880,0,0,141,3808,23,0,146,1144,0,253,129,256,0,1,0,0,0,0,0,0,0,0,9865,0,152,4,0,2,112,0,44,0,0,0,16,2,78,27,18,1,0,42,0,0,62,10,9492,0
63.27,0,0,166,0,0,9,0,124223,0,18,494,22,0,37,0,14,41,62415,0,120,22,0,3086,0,42,48,15,1,3902,15,2918,0,0,140,3512,21,0,143,1105,0,253,125,250,0,1,0,0,0,0,0,0,0,0,9705,0,145,4,0,2,111,0,44,0,0,0,16,2,79,27,14,1,0,41,0,0,61,10,9378,0
65.03,0,0,169,0,0,10,0,126172,0,19,494,22,0,37,0,14,42,62977,0,120,22,0,3061,0,41,41,16,1,3967,19,2941,0,0,143,3942,21,0,141,1141,0,248,128,247,0,1,0,0,0,0,0,0,0,0,9435,0,163,4,0,4,110,0,49,0,0,0,17,2,77,29,18,1,0,42,0,0,62,11,9471,0
62.38,0,0,171,0,0,9,0,121847,0,18,496,22,0,37,0,14,41,60566,0,120,22,0,2973,0,42,42,15,1,3937,15,2787,0,0,146,3408,21,0,155,1146,0,254,125,251,0,1,0,0,0,0,0,0,0,0,9781,0,149,4,0,4,109,0,46,0,0,0,16,2,77,27,14,1,0,41,0,0,61,11,9424,0
62.87,0,0,172,0,0,10,0,122516,0,19,500,24,0,37,0,15,42,60625,0,120,22,0,3004,0,41,56,16,1,4304,19,2830,0,0,145,3390,22,0,147,1162,0,256,130,257,0,1,0,0,0,0,0,0,0,0,9739,0,157,4,0,6,114,0,49,0,0,0,17,2,79,28,18,1,0,42,0,0,62,12,9357,0
63.6,0,0,167,0,0,9,0,123421,0,18,496,22,0,37,0,15,41,60392,0,120,22,0,2994,0,41,50,15,1,4111,15,2876,0,0,140,3615,22,0,154,1174,0,261,125,254,0,1,0,0,0,0,0,0,0,0,9810,0,114,4,0,4,114,0,45,0,0,0,16,2,82,27,14,1,0,41,0,0,61,11,9466,0
64.86,0,0,168,0,0,10,0,125775,0,19,499,23,0,37,0,14,43,62380,0,120,22,0,3049,0,42,50,16,1,4019,19,2886,0,0,146,3428,21,0,150,1181,0,256,130,255,0,1,0,0,0,0,0,0,0,0,9810,0,155,4,0,4,114,0,49,0,0,0,17,2,78,29,17,1,0,43,0,0,62,11,9459,0
68.6,0,0,233,0,0,2,0,124156,0,14,1080,55,0,2393,0,14,71,54037,0,136,80,685,2740,0,44,16,39,38,8044,143,2636,1,0,805,3376,76,0,296,1138,0,347,177,324,0,1,0,0,0,0,0,0,0,0,8970,0,1971,5,0,4,110,0,460,0,0,0,443,3,74,61,85,2,0,71,0,0,68,0,8517,0
68.15,0,0,234,0,0,2,0,120454,0,12,1069,50,0,2381,0,15,68,54477,0,136,81,802,2768,0,44,16,39,38,7734,143,2593,1,0,807,3487,76,0,286,1135,0,339,176,325,0,1,0,0,0,0,0,0,0,0,8861,0,1938,5,0,4,105,0,448,0,0,0,437,3,75,56,85,2,0,68,0,0,68,0,8408,0
69.13,0,0,224,0,0,2,0,123723,0,14,1030,50,0,2384,0,14,67,55952,0,136,81,494,2833,0,45,16,39,38,7680,138,2642,1,0,800,3244,74,0,287,1132,0,332,171,315,0,1,0,0,0,0,0,0,0,0,8701,0,1954,5,0,4,109,0,461,0,0,0,437,3,73,56,80,2,0,67,0,0,66,0,8283,0
67.06,0,0,229,0,0,2,0,121890,0,12,1071,55,0,2389,0,14,69,54535,0,136,81,611,2759,0,44,16,38,38,7773,144,2610,1,0,805,3347,75,0,285,1128,0,334,180,320,0,1,0,0,0,0,0,0,0,0,8748,0,1981,5,0,4,100,0,464,0,0,0,440,3,74,61,86,2,0,69,0,0,68,0,8322,0
66.27,0,0,232,0,0,2,0,114244,0,15,1071,54,0,2391,0,14,67,53282,0,136,79,532,2709,0,43,16,38,37,7700,140,2621,1,0,803,3288,76,0,299,1133,0,345,175,321,0,1,0,0,0,0,0,0,0,0,8805,0,1883,5,0,4,111,0,460,0,0,0,438,3,71,60,85,2,0,67,0,0,68,0,8186,0
69.12,0,0,236,0,0,2,0,122147,0,14,1037,50,0,2321,0,15,69,55046,0,136,79,712,2787,0,45,16,38,37,7766,141,2600,1,0,787,3407,77,0,287,1134,0,331,175,324,0,1,0,0,0,0,0,0,0,0,8800,0,1918,5,0,4,113,0,449,0,0,0,426,3,75,56,85,2,0,69,0,0,68,0,8370,0
68.48,0,0,232,0,0,2,0,120861,0,13,1068,48,0,2363,0,15,68,55576,0,136,79,612,2806,0,44,16,36,36,7669,140,2605,1,0,806,3540,76,0,298,1136,0,336,176,326,0,1,0,0,0,0,0,0,0,0,8682,0,1948,5,0,4,110,0,448,0,0,0,422,3,76,54,85,2,0,68,0,0,67,0,8233,0
69.38,0,0,231,0,0,2,0,122518,0,14,1066,50,0,2375,0,15,68,56645,0,136,81,649,2887,0,45,16,39,38,7663,139,2673,1,0,804,3546,77,0,289,1135,0,336,172,322,0,1,0,0,0,0,0,0,0,0,8671,0,1986,5,0,4,111,0,452,0,0,0,436,3,75,56,81,2,0,68,0,0,67,0,8245,0
66.97,0,0,231,0,0,2,0,122182,0,14,1037,49,0,2370,0,14,67,55934,0,136,79,655,2833,0,44,16,38,37,7592,141,2682,1,0,796,3144,76,0,290,1141,0,337,176,322,0,1,0,0,0,0,0,0,0,0,8803,0,1984,5,0,4,111,0,436,0,0,0,424,3,74,55,85,2,0,67,0,0,68,0,8364,0
68.12,0,0,237,0,0,2,0,147864,0,15,1078,50,0,2421,0,15,73,60504,0,136,80,620,2903,0,46,16,39,38,8814,146,2693,1,0,1200,4320,78,0,337,1195,0,340,178,332,0,1,0,0,0,0,0,0,0,0,9912,0,2339,5,0,4,115,0,451,0,0,0,427,3,75,56,89,2,0,73,0,0,69,0,9091,0
