energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
54.69,5959,0,72,4,4,1,16,3,2,6,18441,2992,8,2,6,0,0,1,1,76,4,2958,14,4,3,2,8963,47628,7,3,31710,2,1,2,0,0,1,259,78,0,14,182,3683,14,2,13,0,0,0,39,0,0,0,3562,0,88106,0,2,34,3,1,25901,5,2,4,41673,2987,1,11916,2,7,1,0,1,2,0,4,115,0
55.21,4046,0,72,4,4,1,16,3,1,6,12660,2026,8,2,6,0,0,1,1,76,4,2016,14,4,3,2,6069,28208,7,3,102640,2,1,2,0,0,1,260,78,0,14,182,2716,13,2,13,0,0,0,38,0,0,0,2596,0,77464,0,2,34,3,1,33754,5,2,4,28261,2022,1,8062,2,7,1,0,1,2,0,4,116,0
57.12,11839,0,72,4,4,1,16,3,2,6,36025,5924,8,2,6,0,0,1,1,76,4,5912,14,4,3,2,17760,94247,6,3,74973,2,1,2,0,0,1,260,77,0,14,182,6615,14,2,13,0,0,0,39,0,0,0,6493,0,0,0,2,34,3,1,3,5,2,4,82502,5919,1,23658,2,7,1,0,1,2,0,4,115,0
53.63,13548,0,72,4,4,1,16,3,2,6,41127,6778,8,2,6,0,0,1,1,76,4,6770,14,4,3,2,20322,7886,7,3,69951,2,1,2,0,0,1,260,78,0,14,182,7468,14,2,13,0,0,0,38,0,0,0,7345,0,0,0,2,34,3,1,3,5,2,4,101243,6773,1,27070,2,7,1,0,1,2,0,4,116,0
54.84,5944,0,72,4,4,1,16,3,2,6,18395,2986,8,2,6,0,0,1,1,76,4,2951,14,4,3,2,8945,41590,7,3,37075,2,1,2,0,0,1,260,78,0,14,182,3675,14,2,13,0,0,0,39,0,0,0,3555,0,92901,0,2,34,3,1,23275,5,2,4,38618,2981,1,11872,2,7,1,0,1,2,0,4,115,0
57.78,11848,0,72,4,4,1,16,3,2,6,36053,5928,8,2,6,0,0,1,1,76,4,5916,14,4,3,2,17770,82659,7,3,78352,2,1,2,0,0,1,259,78,0,14,182,6614,14,2,13,0,0,0,39,0,0,0,6497,0,0,0,2,34,3,1,3,5,2,4,82622,5923,1,23655,2,7,1,0,1,2,0,4,116,0
57.31,11896,0,71,4,4,1,16,3,1,6,36202,5951,8,2,6,0,0,1,1,76,4,5945,14,4,3,2,17844,82918,7,3,78919,2,1,2,0,0,1,260,78,0,14,182,6641,14,2,13,0,0,0,39,0,0,0,6521,0,0,0,2,34,3,1,3,5,2,4,76933,5947,1,23717,2,7,1,0,1,2,0,4,115,0
54.95,4061,0,72,4,4,1,16,3,2,6,12709,2035,8,2,6,0,0,1,1,76,4,2015,14,4,3,2,6093,32354,7,3,101625,2,1,2,0,0,1,260,78,0,14,182,2725,14,2,13,0,0,0,39,0,0,0,2605,0,75356,0,2,34,3,1,37838,5,2,4,30374,2030,1,8089,2,7,1,0,1,2,0,4,116,0
54.92,5935,0,72,4,4,1,16,3,1,6,18375,2983,8,2,6,0,0,1,1,76,4,2966,14,4,3,2,8938,47500,7,3,31693,2,1,2,0,0,1,260,78,0,14,182,3675,14,2,13,0,0,0,39,0,0,0,3552,0,87013,0,2,34,3,1,22149,5,2,4,41564,2979,1,11844,2,7,1,0,1,2,0,4,115,0
53.7,4063,0,72,4,4,1,16,3,1,6,12721,2035,8,2,6,0,0,1,1,76,4,2023,14,4,3,2,6096,28364,7,3,107647,2,1,2,0,0,1,260,78,0,14,182,2725,14,2,13,0,0,0,39,0,0,0,2604,0,82596,0,2,34,3,1,38351,5,2,4,28370,2031,1,8096,2,7,1,0,1,2,0,4,115,0
54.19,11810,0,72,3,4,1,16,3,1,5,35923,5908,8,2,6,0,0,1,1,76,3,5893,12,3,3,1,17711,94057,6,2,73983,2,1,2,0,0,1,259,78,0,14,182,6597,14,2,12,0,0,0,28,0,0,0,6477,0,0,0,2,31,3,1,3,4,2,3,82373,5904,1,23561,2,5,1,0,1,2,0,4,113,0
54.21,11852,0,72,4,4,1,16,3,2,6,36067,5930,8,2,6,0,0,1,1,76,4,5919,14,4,3,2,17777,94437,7,3,77229,2,1,2,0,0,1,260,78,0,14,182,6619,14,2,13,0,0,0,39,0,0,0,6500,0,0,0,2,34,3,1,3,5,2,4,88595,5925,1,23676,2,7,1,0,1,2,0,4,116,0
52.78,5900,0,72,4,4,1,16,3,2,6,18261,2963,8,2,6,0,0,1,1,76,4,2942,14,4,3,2,8877,41291,7,3,124597,2,1,2,0,0,1,260,78,0,14,182,3653,14,2,13,0,0,0,39,0,0,0,3532,0,82083,0,2,34,3,1,10315,4,2,4,38325,2958,1,11797,2,7,1,0,1,2,0,4,115,0
53.39,13068,0,72,4,4,1,16,3,2,6,39695,6538,8,2,6,0,0,1,1,76,4,6528,14,4,3,2,19598,91170,7,3,77713,2,1,2,0,0,1,260,78,0,14,182,7226,14,2,13,0,0,0,39,0,0,0,7106,0,0,0,2,34,3,1,3,5,2,4,91208,6533,1,26085,2,7,1,0,1,2,0,4,116,0
54.93,12472,0,72,4,4,1,16,3,2,6,37919,6240,8,2,6,0,0,1,1,76,4,6232,14,4,3,2,18706,86965,7,3,77189,2,1,2,0,0,1,260,78,0,14,182,6930,14,2,13,0,0,0,39,0,0,0,6807,0,0,0,2,34,3,1,3,5,2,4,80791,6235,1,24903,2,7,1,0,1,2,0,4,115,0
55.03,4019,0,72,4,4,1,16,3,1,6,12580,2013,8,2,6,0,0,1,1,76,4,1984,14,4,3,2,6030,32042,7,3,108718,2,1,2,0,0,1,260,78,0,14,182,2704,14,2,13,0,0,0,39,0,0,0,2584,0,81885,0,2,34,3,1,27110,5,2,4,30069,2009,1,8023,2,7,1,0,1,2,0,4,116,0
54.66,5933,0,72,4,4,1,16,3,2,6,18339,2976,8,2,6,0,0,1,1,76,4,2958,14,4,3,2,8916,47270,7,3,125324,2,1,2,0,0,1,260,78,0,14,182,3666,14,2,13,0,0,0,39,0,0,0,3546,0,83486,0,2,34,3,1,17011,5,2,4,41415,2971,1,11854,2,7,1,0,1,2,0,4,115,0
55.41,4042,0,72,4,4,1,16,3,1,6,12649,2024,8,2,6,0,0,1,1,76,4,2003,14,4,3,2,6063,28170,7,3,20195,2,1,2,0,0,1,260,78,0,14,182,2714,14,2,13,0,0,0,39,0,0,0,2593,0,94009,0,2,34,3,1,32732,5,2,4,28223,2020,1,8042,2,7,1,0,1,2,0,4,116,0
57.01,11892,0,72,4,4,1,16,3,1,6,36181,5949,8,2,6,0,0,1,1,76,4,5932,14,4,3,2,17837,94676,7,3,75730,2,1,2,0,0,1,260,78,0,14,182,6641,14,2,13,0,0,0,39,0,0,0,6520,0,0,0,2,34,3,1,3,5,2,4,82909,5945,1,23745,2,7,1,0,1,2,0,4,115,0
54,13048,0,72,4,4,1,16,3,2,6,39646,6528,8,2,6,0,0,1,1,76,4,6520,14,4,3,2,19571,103785,7,3,74092,2,1,2,0,0,1,260,78,0,14,182,7219,14,2,13,0,0,0,39,0,0,0,7097,0,0,0,2,34,3,1,3,5,2,4,97522,6523,1,26058,2,7,1,0,1,2,0,4,116,0
54.18,5962,0,72,4,4,1,16,3,2,6,18453,2995,8,2,6,0,0,1,1,76,4,2972,14,4,3,2,8973,41657,7,3,31324,2,1,2,0,0,1,260,78,0,14,182,3684,14,2,13,0,0,0,38,0,0,0,3563,0,88900,0,2,34,3,1,27084,5,2,4,38746,2990,1,11935,2,7,1,0,1,2,0,4,115,0
57.16,11778,0,72,4,4,1,16,3,1,6,35846,5892,8,2,6,0,0,1,1,76,4,5880,14,4,3,2,17667,82177,7,3,78990,2,1,2,0,0,1,260,78,0,14,182,6583,14,2,13,0,0,0,39,0,0,0,6461,0,0,0,2,34,3,1,3,5,2,4,82164,5888,1,23528,2,7,1,0,1,2,0,4,116,0
56.1,12363,0,72,4,4,1,16,3,2,6,37609,6186,8,2,6,0,0,1,1,76,4,6174,14,4,3,2,18546,86226,7,3,78548,2,1,2,0,0,1,260,78,0,14,182,6874,14,2,13,0,0,0,39,0,0,0,6755,0,0,0,2,34,3,1,3,5,2,4,80027,6181,1,24712,2,7,1,0,1,2,0,4,114,0
54.71,4013,0,72,4,4,1,16,3,1,6,12564,2010,8,2,6,0,0,1,1,76,4,1993,14,4,3,2,6020,31982,7,3,112540,2,1,2,0,0,1,260,78,0,14,182,2700,14,2,13,0,0,0,39,0,0,0,2579,0,84889,0,2,34,3,1,25577,5,2,4,30011,2006,1,7982,2,7,1,0,1,2,0,4,116,0
54.46,5930,0,72,4,4,1,16,3,2,6,18350,2977,8,2,6,0,0,1,1,75,4,2950,14,4,3,2,8919,47278,7,3,126249,2,1,2,0,0,1,260,78,0,14,182,3667,14,2,13,0,0,0,38,0,0,0,3546,0,85001,0,2,34,3,1,18232,5,2,4,41453,2972,1,11852,2,7,1,0,1,2,0,4,115,0
54.75,4025,0,72,4,4,1,16,3,1,6,12611,2017,8,2,6,0,0,1,1,75,4,2005,14,4,3,2,6042,28105,7,3,111617,2,1,2,0,0,1,259,78,0,14,182,2708,14,2,13,0,0,0,38,0,0,0,2586,0,85497,0,2,34,3,1,29152,5,2,4,28111,2013,1,8000,2,7,1,0,1,2,0,4,116,0
55.2,11790,0,72,4,4,1,16,3,1,6,35893,5898,8,2,6,0,0,1,1,76,4,5887,14,4,3,2,17684,93876,7,3,75964,2,1,2,0,0,1,260,78,0,14,182,6589,14,2,13,0,0,0,39,0,0,0,6468,0,0,0,2,34,3,1,3,5,2,4,82109,5894,1,23548,2,7,1,0,1,2,0,4,115,0
53.92,11959,0,72,4,4,1,16,3,2,6,36381,5984,8,2,6,0,0,1,1,76,4,5975,14,4,3,2,17939,95227,7,3,76974,2,1,2,0,0,1,260,78,0,14,182,6675,14,2,13,0,0,0,39,0,0,0,6554,0,0,0,2,34,3,1,3,5,2,4,89384,5979,1,23891,2,7,1,0,1,2,0,4,116,0
51.93,5905,0,72,4,4,1,16,3,1,6,18273,2964,8,2,6,0,0,1,1,76,4,2942,14,4,3,2,8883,41270,7,3,125212,2,1,2,0,0,1,260,78,0,13,182,3655,14,2,13,0,0,0,39,0,0,0,3533,0,84146,0,2,34,3,1,12259,5,2,4,38383,2960,1,11823,2,7,1,0,1,2,0,4,115,0
54.36,11844,0,72,4,4,1,16,3,2,6,36029,5926,8,2,6,0,0,1,1,76,4,5918,14,4,3,2,17766,82639,7,3,78161,2,1,2,0,0,1,260,78,0,14,182,6616,14,2,13,0,0,0,39,0,0,0,6494,0,0,0,2,34,3,1,3,5,2,4,82618,5921,1,23608,2,7,1,0,1,2,0,4,116,0
55.23,11920,0,72,4,4,1,16,3,2,6,36243,5964,8,2,6,0,0,1,1,76,4,5955,14,4,3,2,17877,83071,7,3,79358,2,1,2,0,0,1,260,78,0,14,182,6653,14,2,13,0,0,0,38,0,0,0,6532,0,0,0,2,34,3,1,3,5,2,4,77091,5959,1,23801,2,7,1,0,1,2,0,4,115,0
53.79,4037,0,72,4,4,1,16,3,2,6,12645,2023,8,2,6,0,0,1,1,75,4,1988,14,4,3,2,6057,32201,7,3,108456,2,1,2,0,0,1,260,78,0,14,182,2714,14,2,13,0,0,0,39,0,0,0,2593,0,81127,0,2,34,3,1,31707,5,2,4,30194,2018,1,8029,2,7,1,0,1,2,0,4,116,0
53.98,5961,0,72,4,4,1,16,3,2,6,18458,2995,8,2,6,0,0,1,1,76,4,2968,14,4,3,2,8973,47630,7,3,31651,2,1,2,0,0,1,260,77,0,14,182,3686,14,2,13,0,0,0,39,0,0,0,3565,0,88382,0,2,34,3,1,27759,5,2,4,41709,2990,1,11895,2,7,1,0,1,2,0,4,115,0
54.81,4020,0,72,4,4,1,16,3,1,6,12581,2013,8,2,6,0,0,1,1,76,4,1978,14,4,3,2,6030,28070,7,3,108447,2,1,2,0,0,1,260,78,0,14,182,2704,14,2,13,0,0,0,38,0,0,0,2581,0,81217,0,2,34,3,1,27110,5,2,4,28059,2009,1,8012,2,7,1,0,1,2,0,4,116,0
56.71,11852,0,72,4,4,1,16,3,2,6,36068,5930,8,2,6,0,0,1,1,76,4,5921,14,4,3,2,17776,94293,7,3,76012,2,1,2,0,0,1,260,78,0,14,182,6620,14,2,13,0,0,0,39,0,0,0,6499,0,0,0,2,34,3,1,3,5,2,4,82545,5925,1,23688,2,7,1,0,1,2,0,4,115,0
55.35,12054,0,72,4,4,1,16,3,2,6,36667,6031,8,2,6,0,0,1,1,76,4,6021,14,4,3,2,18080,96048,7,3,65396,2,1,2,0,0,1,260,78,0,14,182,6721,14,2,13,0,0,0,39,0,0,0,6601,0,0,0,2,34,3,1,3,5,2,4,90134,6026,1,24094,2,7,1,0,1,2,0,4,116,0
54.3,5939,0,72,4,4,1,16,3,2,6,18375,2981,8,2,6,0,0,1,1,76,4,2953,13,4,3,2,8931,41475,7,3,28254,2,1,2,0,0,1,260,78,0,14,182,3671,14,2,13,0,0,0,39,0,0,0,3549,0,88318,0,2,34,3,1,19971,4,2,4,38543,2976,1,11874,2,7,1,0,1,2,0,4,115,0
53.13,13443,0,72,4,4,1,16,3,2,6,40848,6726,8,2,6,0,0,1,1,76,4,6722,14,4,3,2,20165,93728,7,3,76575,2,1,2,0,0,1,259,78,0,14,182,7411,14,2,13,0,0,0,39,0,0,0,7294,0,0,0,2,34,3,1,3,5,2,4,93823,6721,1,26829,2,7,1,0,1,2,0,4,116,0
56.44,12150,0,72,4,4,1,15,3,2,6,36962,6079,8,2,6,0,0,1,1,76,4,6069,14,4,3,2,18225,84721,7,3,78661,2,1,2,0,0,1,259,78,0,14,182,6766,14,2,13,0,0,0,39,0,0,0,6646,0,0,0,2,34,3,1,3,5,2,4,78684,6074,1,24277,2,7,1,0,1,2,0,4,115,0
