energy,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
51.34,0,0,460,0,0,8,0,155833,0,18,981,77,0,2347,0,25,149,49799,0,48,93,1215,409,0,43,30,56,48,17670,440,165,0,0,970,5435,44,0,419,1285,0,238,457,675,0,1,0,0,0,0,0,0,0,0,21973,0,4453,6,0,2,103,329,690,0,0,0,536,1,0,89,348,1,0,149,0,0,119,7,19862,0
52.7,0,0,450,0,0,8,0,156039,0,19,981,85,0,3004,0,24,150,50523,0,48,106,1040,404,0,43,31,62,54,17793,451,170,0,0,1132,7892,43,0,410,1291,0,227,453,663,0,1,0,0,0,0,0,0,0,0,21690,0,4399,6,0,2,105,324,691,0,0,0,594,1,0,97,345,1,0,150,0,0,117,7,19763,0
53.11,0,0,467,0,0,11,0,160851,0,20,1000,95,0,3326,0,23,150,50056,0,48,113,1660,404,0,43,30,73,57,18342,471,187,0,0,1220,7310,45,0,412,1306,0,234,478,680,0,1,0,0,0,0,0,0,0,0,22633,0,4734,6,0,2,106,327,722,0,0,0,621,1,0,102,360,1,0,150,0,0,120,7,20201,0
51.27,0,0,459,0,0,11,0,155388,0,18,993,86,0,3006,0,25,147,50827,0,48,106,921,414,0,43,30,66,54,17652,452,158,0,0,1137,5362,44,0,410,1292,0,226,466,678,0,1,0,0,0,0,0,0,0,0,22089,0,4432,6,0,2,103,337,671,0,0,0,584,1,0,101,346,1,0,147,0,0,118,7,19791,0
55.49,0,0,309,0,0,16,0,165950,0,17,899,65,0,834,0,27,116,44559,0,126,51,576,105,0,42,40,45,14,8332,316,70,0,0,647,5320,19,0,368,1187,0,270,428,617,0,1,0,0,0,0,0,0,0,0,15773,0,2022,6,0,4,105,0,162,0,0,0,164,2,74,67,287,1,0,116,0,0,124,11,14276,0
55.44,0,0,312,0,0,15,0,166751,0,17,918,64,0,834,0,26,115,44265,0,126,51,654,106,0,41,38,44,14,8390,316,77,0,0,647,6029,19,0,375,1200,0,265,426,624,0,1,0,0,0,0,0,0,0,0,15822,0,2117,6,0,4,105,0,158,0,0,0,164,2,75,65,286,1,0,115,0,0,124,11,14263,0
55.36,0,0,313,0,0,16,0,167973,0,18,923,65,0,836,0,26,116,44513,0,126,51,621,107,0,41,42,45,14,8396,317,74,0,0,649,5002,19,0,378,1211,0,264,429,626,0,1,0,0,0,0,0,0,0,0,15931,0,2052,6,0,4,106,0,161,0,0,0,166,2,75,67,287,1,0,116,0,1,124,11,14352,0
58.43,0,0,310,0,0,16,0,167870,0,18,919,65,0,836,0,26,116,44661,0,126,51,615,117,0,41,34,45,14,8360,315,61,0,0,649,6844,18,0,371,1199,0,266,429,625,0,1,0,0,0,0,0,0,0,0,16082,0,2021,6,0,4,108,0,160,0,0,0,166,2,76,67,286,1,0,116,0,1,124,11,14520,0
57.94,0,0,311,0,0,17,0,167006,0,20,914,69,0,834,0,25,117,44600,0,126,51,594,106,0,42,32,47,14,8442,316,85,0,0,650,6000,18,0,382,1226,0,263,427,612,0,1,0,0,0,0,0,0,0,0,15131,0,2094,6,0,2,110,0,162,0,0,0,166,2,74,70,287,1,0,117,0,0,124,10,14224,0
53.13,0,0,304,0,0,16,0,168098,0,18,909,68,0,834,0,25,116,46295,0,126,51,623,106,0,43,44,45,14,8393,317,70,0,0,648,7429,18,0,384,1235,0,269,429,618,0,1,0,0,0,0,0,0,0,0,16140,0,2058,6,0,4,106,0,161,0,0,0,166,2,74,64,287,1,0,116,0,0,123,11,14557,0
54.4,0,0,310,0,0,16,0,168597,0,17,921,65,0,834,0,26,116,44773,0,126,51,551,107,0,41,46,45,14,8438,317,84,0,0,647,4840,18,0,376,1251,0,265,429,625,0,1,0,0,0,0,0,0,0,0,15819,0,2087,6,0,4,105,0,159,0,0,0,166,2,76,67,287,1,0,116,0,1,124,11,14263,0
55.76,0,0,309,0,0,16,0,167730,0,17,914,55,0,834,0,26,116,44934,0,126,51,605,106,0,42,40,42,14,8439,317,70,0,0,646,5647,18,0,375,1248,0,269,428,620,0,1,0,0,0,0,0,0,0,0,15832,0,1999,6,0,4,106,0,160,0,0,0,164,2,75,65,287,1,0,116,0,0,124,11,14235,0
55.2,0,0,309,0,0,16,0,167176,0,18,920,55,0,834,0,26,116,45087,0,126,51,645,106,0,43,36,42,14,8411,317,74,0,0,648,6965,18,0,379,1239,0,265,429,623,0,1,0,0,0,0,0,0,0,0,15840,0,2090,6,0,4,107,0,160,0,0,0,166,2,75,65,287,1,0,116,0,0,124,11,14235,0
55.3,0,0,312,0,0,15,0,168207,0,19,907,54,0,836,0,25,118,45432,0,126,51,624,117,0,43,46,41,14,8455,317,64,0,0,651,5801,17,0,378,1239,0,272,426,614,0,1,0,0,0,0,0,0,0,0,15990,0,2040,6,0,4,110,0,160,0,0,0,165,2,76,63,287,1,0,118,0,0,122,11,14362,0
55.38,0,0,471,0,0,19,0,172698,0,22,956,57,0,820,0,23,122,51987,0,138,53,658,1891,0,42,32,45,14,8518,333,1691,0,0,518,5485,26,0,201,1266,0,266,455,661,0,1,0,0,0,0,0,0,0,0,15932,0,2138,6,0,2,118,0,183,0,0,0,169,2,78,73,303,1,0,122,0,0,139,10,14270,0
55.78,0,0,471,0,0,18,0,175166,0,20,953,57,0,818,0,22,121,52673,0,138,53,624,1936,0,42,30,44,14,8485,326,1688,0,0,515,5488,26,0,197,1263,0,265,449,657,0,1,0,0,0,0,0,0,0,0,16111,0,2217,6,0,4,114,0,180,0,0,0,168,2,78,71,299,1,0,121,0,0,138,11,14759,0
55.94,0,0,331,0,0,18,0,175324,0,21,958,57,0,821,0,23,121,53086,0,138,53,701,1897,0,42,30,44,14,8422,328,1691,0,0,521,5321,27,0,199,1274,0,263,449,661,0,1,0,0,0,0,0,0,0,0,16209,0,2098,6,0,4,116,0,180,0,0,0,167,2,78,71,299,1,0,121,0,0,137,11,14831,0
56.45,0,0,318,0,0,18,0,175719,0,24,945,57,0,819,0,22,123,52350,0,138,53,582,1943,0,41,41,44,14,8465,327,1684,0,0,517,5084,25,0,199,1292,0,264,442,647,0,1,0,0,0,0,0,0,0,0,15614,0,2101,6,0,4,122,0,179,0,0,0,168,2,75,71,299,1,0,123,0,0,137,11,14349,0
56.56,0,0,322,0,0,19,0,177368,0,22,957,58,0,820,0,22,122,53376,0,138,53,644,1972,0,42,28,45,14,8555,337,1673,0,0,522,5588,24,0,194,1288,0,262,456,659,0,1,0,0,0,0,0,0,0,0,15521,0,2147,6,0,4,117,0,183,0,0,0,168,2,77,73,307,1,0,122,0,0,139,11,14584,0
55.5,0,0,330,0,0,19,0,179948,0,22,962,60,0,822,0,23,122,54012,0,138,53,645,2034,0,44,38,45,14,8585,333,1705,0,0,524,5525,25,0,189,1299,0,272,455,669,0,1,0,0,0,0,0,0,0,0,16291,0,2111,6,0,4,122,0,185,0,0,0,169,2,80,71,301,1,0,122,0,0,139,11,14642,0
56.07,0,0,333,0,0,19,0,180014,0,20,968,58,0,819,0,23,123,55752,0,138,53,570,1991,0,42,30,45,14,8633,333,1752,0,0,525,5693,26,0,194,1294,0,264,456,671,0,1,0,0,0,0,0,0,0,0,16326,0,2214,6,0,4,114,0,184,0,0,0,168,2,78,73,302,1,0,123,0,0,139,11,14666,0
56.28,0,0,330,0,0,17,0,179945,0,20,962,56,0,821,0,22,123,53473,0,138,53,534,1978,0,42,30,43,14,8612,333,1685,0,0,522,5595,25,0,187,1302,0,262,450,665,0,1,0,0,0,0,0,0,0,0,16369,0,2151,6,0,4,113,0,184,0,0,0,167,2,77,69,303,1,0,123,0,0,139,11,14731,0
56.72,0,0,319,0,0,18,0,179257,0,21,956,58,0,821,0,22,123,54765,0,138,53,628,1977,0,42,30,44,14,8566,327,1682,0,0,516,5331,24,0,184,1296,0,266,449,661,0,1,0,0,0,0,0,0,0,0,16341,0,2152,6,0,4,117,0,185,0,0,0,167,2,79,70,299,1,0,123,0,0,138,11,14713,0
54.99,0,0,334,0,0,20,0,183387,0,21,972,61,0,822,0,23,122,54876,0,138,53,531,2066,0,42,38,47,14,8678,333,1786,0,0,525,5895,26,0,197,1300,0,271,458,670,0,1,0,0,0,0,0,0,0,0,16531,0,2212,6,0,4,118,0,187,0,0,0,169,2,78,77,303,1,0,122,0,0,139,11,14886,0
61.11,0,0,368,0,0,2,0,116851,0,29,1344,73,0,3826,0,20,159,58129,1,136,111,1241,2026,0,187,30,51,54,14918,462,1779,1,0,1228,8948,78,0,353,1552,0,358,533,821,0,5,0,0,0,0,0,0,0,0,17879,0,4100,3,0,4,131,5,628,0,0,0,601,3,63,93,368,1,0,159,0,1,128,0,15496,0
60.91,0,0,396,0,0,4,0,211013,0,14,1064,85,0,3387,0,23,150,57820,0,154,114,1154,2008,0,44,16,56,52,12907,459,1763,1,0,1158,9577,83,0,208,1251,0,279,482,735,0,1,0,0,0,0,0,0,0,0,16339,0,4331,7,0,4,114,0,650,0,0,0,623,3,82,93,370,1,0,150,0,0,145,0,14745,0
62.38,0,0,397,0,0,3,0,133044,0,16,1070,77,0,3428,0,29,159,63311,0,154,116,1096,1972,0,53,16,55,53,13962,470,1772,1,0,1616,10259,83,0,239,1319,0,283,486,744,0,1,0,0,0,0,0,0,0,0,17592,0,4823,7,0,4,116,0,636,0,0,0,628,3,80,84,379,1,0,159,0,0,147,0,15555,0
60.87,0,0,390,0,0,3,0,206106,0,16,1042,70,0,3353,0,23,152,57419,0,154,112,923,1930,0,46,16,53,51,12798,451,1718,1,0,1158,7455,82,0,215,1256,0,277,475,729,0,1,0,0,0,0,0,0,0,0,16160,0,4352,7,0,4,117,0,636,0,0,0,592,3,81,77,369,1,0,152,0,0,144,0,14520,0
60.9,0,0,393,0,0,3,0,206333,0,16,1056,80,0,3381,0,22,153,57465,0,154,114,1082,1929,0,44,16,53,50,12771,462,1724,1,0,1162,9652,81,0,208,1246,0,277,478,727,0,1,0,0,0,0,0,0,0,0,16423,0,3953,7,0,4,116,0,627,0,0,0,622,3,79,87,373,1,0,153,0,0,146,0,14752,0
61.03,0,0,397,0,0,3,0,209002,0,16,1055,74,0,3179,0,22,154,58090,0,154,109,1106,1950,0,44,15,52,50,12766,460,1758,1,0,1116,8599,82,0,198,1251,0,274,480,732,0,1,0,0,0,0,0,0,0,0,16333,0,4278,7,0,4,118,0,619,0,0,0,592,3,79,81,375,1,0,154,0,0,146,0,14727,0
61.97,0,0,390,0,0,3,0,208324,0,18,1038,78,0,3423,0,23,154,59066,0,154,112,1192,1936,0,45,16,54,52,12730,456,1750,1,0,1174,7117,82,0,196,1256,0,285,476,711,0,1,0,0,0,0,0,0,0,0,16292,0,4135,9,0,4,123,0,634,0,0,0,625,3,81,85,369,1,0,154,0,0,182,0,14712,0
61.53,0,0,396,0,0,3,0,210732,0,14,1058,81,0,3379,0,23,150,58111,0,154,114,1170,1991,0,46,16,54,52,12754,463,1792,1,0,1156,9998,82,0,210,1246,0,285,482,733,0,1,0,0,0,0,0,0,0,0,16340,0,4399,7,0,4,112,0,634,0,0,0,620,3,82,88,374,1,0,150,0,0,146,0,14745,0
62.06,0,0,399,0,0,3,0,212520,0,16,1055,76,0,3375,0,23,154,58461,0,154,114,1055,2000,0,45,16,53,52,12812,458,1788,1,0,1160,9232,82,0,205,1252,0,283,479,734,0,1,0,0,0,0,0,0,0,0,16561,0,4489,7,0,4,122,0,645,0,0,0,618,3,84,83,374,1,0,154,0,0,146,0,14891,0
61.5,0,0,398,0,0,4,0,210693,0,16,1057,80,0,3173,0,23,148,58335,0,154,108,879,1966,0,45,16,53,49,12753,456,1729,1,0,1108,9506,83,0,223,1263,0,291,481,731,0,1,0,0,0,0,0,0,0,0,16431,0,4637,7,0,4,119,0,645,0,0,0,583,3,81,89,374,1,0,148,0,0,146,0,14853,0
