energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
52.17,5912684,924,3319,3280,39,1678773,234154180,288307273,17000519,394548980,197.42,336418008,0,0,12,0,0,0,0,0,2,1330,4,12,277,0,0,0,1,0,12,1568,1,58,0,7,72,0,0,15,49,28,984,0,0,0,0,1,23,0,0,9,9,0,30,94,247,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,688,0,0,12,0,0,2,0,115,0
49.44,5116153,930,1920,1865,55,1608968,227935614,258676294,16248197,363039960,181.64,261803681,0,0,12,0,0,0,0,0,2,1285,4,12,261,0,0,0,1,0,12,1518,0,56,0,7,67,0,0,14,49,28,936,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,372,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,644,0,0,12,0,0,2,0,114,0
50.82,6051668,924,3312,3273,39,1670200,237590103,273975255,16441960,379698940,190,358083856,0,0,12,0,0,0,0,0,2,1321,4,12,261,0,0,0,1,0,16,1551,0,56,0,7,67,0,0,14,49,28,960,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,371,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,640,0,0,16,0,0,2,0,113,0
50.88,5939275,941,3331,3272,59,1713439,230150833,285101651,16671127,394882020,197.57,325335093,0,0,12,0,0,0,0,0,2,1320,4,12,262,0,0,0,1,0,12,1540,0,56,0,7,67,0,0,14,49,28,956,0,0,0,0,0,23,0,0,9,9,0,30,81,231,0,0,10,0,0,0,7,0,41,0,371,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,643,0,0,12,0,0,2,0,119,0
52.9,6311002,942,3332,3273,59,1726226,239017849,283889115,17322120,394033080,197.18,348164348,0,0,12,0,0,0,0,0,2,1327,4,12,278,0,0,0,1,0,16,1549,1,58,0,7,72,0,0,15,49,28,978,0,0,0,0,1,23,0,0,9,9,0,30,98,247,0,0,10,0,0,0,19,0,41,0,399,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,688,0,0,16,0,0,2,0,115,0
51.33,5807058,965,3328,3269,59,1669861,232471934,283051498,16887217,391316720,195.8,302115037,0,0,12,0,0,0,0,0,2,1335,4,12,275,0,0,0,1,0,12,1577,1,54,0,7,72,0,0,15,49,28,987,0,0,0,0,1,23,0,0,9,9,0,30,97,246,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,685,0,0,12,0,0,2,0,115,0
50.52,5986382,914,3320,3276,44,1696414,243278532,270818280,16710390,376739440,188.52,322466031,0,0,12,0,0,0,0,0,2,1324,4,12,278,0,0,0,1,0,16,1530,1,58,0,7,72,0,0,15,49,28,977,0,0,0,0,1,23,0,0,9,9,0,30,100,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,684,0,0,16,0,0,2,0,120,0
52.31,6127053,930,3309,3270,39,1733698,233478646,272684757,16831402,381584800,190.92,295739794,0,0,12,0,0,0,0,0,2,1331,4,12,278,0,0,0,1,0,12,1564,1,58,0,7,71,0,0,15,49,28,986,0,0,0,0,1,23,0,0,9,9,0,30,101,248,0,0,10,0,0,0,19,0,41,0,400,0,0,0,0,0,47,16,0,0,0,0,28,0,14,0,687,0,0,12,0,0,2,0,115,0
50.06,5939775,918,3318,3279,39,1648865,242200418,274702922,16474959,383007820,191.65,343148962,0,0,12,0,0,0,0,0,2,1309,4,12,260,0,0,0,1,0,16,1551,0,52,0,7,67,0,0,14,49,28,946,0,0,0,0,0,23,0,0,9,9,0,30,79,229,0,0,10,0,0,0,7,0,41,0,370,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,642,0,0,16,0,0,2,0,114,0
50.23,6179805,943,1926,1871,55,1668357,229746684,277124665,16750162,381639960,190.96,355330569,0,0,12,0,0,0,0,0,2,1301,4,12,260,0,0,0,1,0,12,1540,0,52,0,7,67,0,0,14,49,28,942,0,0,0,0,0,23,0,0,9,9,0,30,79,229,0,0,10,0,0,0,7,0,41,0,372,0,0,0,0,0,47,14,0,0,0,0,28,0,14,0,643,0,0,12,0,0,2,0,113,0
