energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
64.35,367967986,76245,1524137,1523872,261,83144032,32221050370,24187123166,1909524001,31471909100,15758.13,32499809073,0,0,0,0,137,0,0,4,0,128139,0,15,460,34,0,686,0,18,21,44656,0,80,51,210,499,0,47,48,33,29,9134,91,92,12,0,297,4416,31,0,312,1615,0,207,121,230,0,1,0,0,0,0,0,0,0,0,11310,0,1125,4,0,1,96,359,230,0,0,0,291,1,0,42,49,0,0,21,0,0,49,0,10921,0
64.71,371325980,81573,1535100,1534833,263,81273241,32622335216,24386331380,1941638650,31738923420,15892.11,32740132559,0,0,0,0,139,0,0,4,0,128582,0,15,474,33,0,645,0,9,24,45447,0,80,44,166,481,0,47,48,30,27,9293,95,115,12,0,262,4378,31,0,322,1610,0,226,128,239,0,1,0,0,0,0,0,0,0,0,11267,0,1308,4,0,1,96,342,245,0,0,0,289,1,0,39,56,0,0,24,0,0,47,0,10787,0
64.22,365918960,80200,1522384,1522118,262,83508437,32237761394,24493217168,1931344042,31936316540,15990.75,32361892891,0,0,0,0,136,0,0,4,0,131101,0,14,458,31,0,636,0,9,22,43901,0,80,42,132,483,0,47,48,30,26,9193,86,122,12,0,252,4211,31,0,311,1618,0,212,121,230,0,1,0,0,0,0,0,0,0,0,11516,0,1349,4,0,1,94,346,249,0,0,0,289,1,0,39,49,0,0,22,0,0,46,0,11128,0
64.43,371821622,79316,1532391,1532126,261,82079743,32445756733,24462969557,1914785076,31830049860,15937.74,32872920415,0,0,0,0,139,0,0,4,0,129455,0,14,463,31,0,635,0,9,21,45311,0,80,42,201,472,0,42,48,31,27,9339,93,101,12,0,257,4387,30,0,320,1607,0,222,130,229,0,1,0,0,0,0,0,0,0,0,11436,0,1314,4,0,1,94,334,253,0,0,0,273,1,0,39,52,0,0,21,0,0,46,0,10955,0
64.23,370158066,79692,1526326,1526053,269,83322851,32450950098,24601966583,1931319470,32036169500,16040.76,32841745607,0,0,0,0,141,0,0,4,0,140869,0,15,459,32,0,680,0,9,22,47735,0,80,48,299,484,0,49,48,32,28,10320,96,87,12,0,383,4345,30,0,323,1645,0,216,125,229,0,1,0,0,0,0,0,0,0,0,11816,0,1177,4,0,1,96,346,233,0,0,0,288,1,0,40,52,0,0,22,0,0,48,0,11192,0
64.11,369662620,81783,1523955,1523694,257,81729769,32174203423,23984747997,1912008904,31301923600,15673.06,32323837578,0,0,0,0,137,0,0,4,0,126942,0,14,459,31,0,635,0,9,20,44153,0,82,42,123,482,0,47,46,30,26,9147,86,102,12,0,250,4432,31,0,311,1591,0,209,122,229,0,1,0,0,0,0,0,0,0,0,11315,0,1354,4,0,1,93,345,245,0,0,0,295,1,0,39,49,0,0,20,0,0,46,0,10841,0
65.36,371078481,80235,1531265,1530998,263,81046247,32559187609,24536941496,1933901138,31917813920,15981.52,32596967150,0,0,0,0,135,0,0,4,0,129336,0,14,458,33,0,653,0,9,21,44943,0,80,44,203,483,0,47,46,32,28,9344,91,109,12,0,260,4545,30,0,317,1612,0,214,124,226,0,1,0,0,0,0,0,0,0,0,11486,0,1311,4,0,1,94,346,256,0,0,0,302,1,0,39,52,0,0,21,0,0,46,0,11010,0
69.63,365671946,81344,1521690,1521449,237,81654808,32156889190,24273787099,1917397425,31575788980,15810.3,32334606504,0,0,0,0,134,0,0,4,0,127800,0,14,451,31,0,683,0,9,21,43583,0,80,42,187,484,0,47,48,30,27,9310,86,124,12,0,264,3974,30,0,308,1611,0,208,121,223,0,1,0,0,0,0,0,0,0,0,11250,0,1323,4,0,1,94,347,249,0,0,0,298,1,0,39,49,0,0,21,0,0,46,0,10768,0
65.97,377096931,79075,1576543,1576325,214,83792132,42665487359,28085991924,1984615993,36393689420,18223.58,42917799823,0,0,0,0,157,0,0,6,0,132421,0,15,505,45,0,992,0,10,27,46545,0,88,50,203,488,0,47,48,42,32,10044,108,124,12,0,351,4702,35,0,313,1611,0,229,143,261,0,1,0,0,0,0,0,0,0,0,11664,0,1519,6,0,1,96,349,290,0,0,0,334,1,0,49,64,1,0,27,0,0,95,0,11062,0
65.08,364714730,93009,1531513,1531249,260,82215472,32442194065,24457141904,1943192875,31943191880,15993.53,32587260520,0,0,0,0,137,0,0,4,0,127967,0,14,460,31,0,643,0,9,23,44523,0,80,42,127,477,0,47,50,31,27,9363,89,121,12,0,260,4294,30,0,324,1613,0,216,125,230,0,1,0,0,0,0,0,0,0,0,11324,0,1317,4,0,1,94,340,249,0,0,0,301,1,0,39,52,1,0,23,0,0,47,0,10854,0
