energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
47.09,64554804,23012,1015,436,579,10091315,10104961559,4191216387,343958977,5499846880,2753.07,10086844430,1.077584,1.695818,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11476,0,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,11478,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11597,0
46.79,52042462,15901,1015,436,579,7982796,6120841384,2758717438,180121358,3705775180,1855.24,6109435785,0.671458,1.176729,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,7280,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,7282,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,7384,0
47.01,73780611,26495,1014,435,579,11059548,9594457876,4172654016,276577814,5502671840,2754.59,9603647541,1.042053,1.727499,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11693,0,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,11695,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11812,0
46.55,53762015,18498,1013,434,579,8386822,8125784137,3406416362,277071674,4506758920,2255.7,8102682452,0.80925,1.46406,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9217,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9219,0,1,1,258,78,0,11,182,694,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,1,2,0,0,1,3,7,7,1,3,1,1,1,3,9337,0
46.57,38052181,11623,1014,435,579,5985837,5120052197,2204738477,179812083,2943825760,1473.46,5101846034,0.515106,0.983284,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,5783,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,5785,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,578,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,5905,0
47.17,72077613,25191,1016,437,579,10789841,11059861487,4563344318,376746081,5961851640,2984.09,11059999703,0.993434,2.014784,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,12559,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,12561,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,12681,0
47.02,84323892,19914,1014,435,579,14326859,9150107137,4212640167,286635190,5517406980,2761.84,9148506641,0.9317,1.854934,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9722,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9724,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9844,0
46.5,54277216,11726,1014,435,579,9394530,5383723384,2611962926,173850871,3468163100,1736.08,5390708660,0.516479,1.239919,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,5742,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,5744,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,5854,0
46.82,57964029,19031,1016,437,579,8826398,8353622619,3572727414,290111365,4699583460,2352.45,8357901322,0.81927,1.56506,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9484,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9486,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9605,0
47.39,81356291,29488,1016,437,579,12053044,10570988054,4493430261,301148262,5933867440,2970.07,10563064059,1.151375,1.848328,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,12951,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,12953,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,13068,0
46.59,42454241,12709,1016,437,579,6821444,4969860451,2268657788,146592193,3072579160,1538.35,4986077671,0.469483,1.072567,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,5876,0,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,5878,0,1,1,258,78,0,12,182,693,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,6,1,3,1,1,1,3,5991,0
46.99,58793238,20323,1016,437,579,9142570,8927694072,3744251170,306777755,4921020380,2463.19,8917493464,0.903368,1.580228,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,10132,3,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,10134,0,1,1,258,78,0,12,182,692,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10254,0
47.52,65492546,23527,1016,437,579,10042425,10332366722,4251955882,351585159,5578603240,2792.42,10323851068,1.003507,1.807037,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,11733,3,1,1,75,4,0,11,3,3,2,0,0,7,3,20,1,0,11735,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,578,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,11855,0
46.72,47072420,14790,1014,435,579,7387923,6496030865,2884787108,230235322,3830272200,1917.41,6509355117,0.658494,1.283499,0,0,72,4,4,0,15,3,1,4,540,3,8,3,6,7366,0,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,7368,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,7488,0
47.11,79030315,18745,1014,436,578,13616039,8612783415,3992447616,270054514,5245089680,2625.56,8607639531,0.825625,1.818085,0,0,72,4,4,0,15,3,1,4,539,3,8,3,6,9128,3,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,9130,0,1,1,258,78,0,11,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9245,0
46.75,78756284,18597,1015,436,579,13506497,8561396539,4006137780,271415543,5243715860,2624.82,8535958593,0.777216,1.872909,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9102,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9104,0,1,1,258,78,0,12,182,694,13,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9223,0
46.82,57063339,19211,1017,438,579,8720788,8451891913,3525964692,290454847,4651185100,2328.06,8453240736,0.826473,1.525695,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9576,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9578,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9697,0
47.11,63678953,22086,1016,437,579,9583020,8178788167,3546229735,232219089,4694930620,2349.98,8179146636,0.910069,1.45344,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9875,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9877,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,578,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9993,0
47.07,63828157,22453,1016,437,579,9888239,8285864524,3588225115,238414242,4757190760,2381.22,8280544456,0.926219,1.478387,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,10027,3,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,10029,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10146,0
