energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
55.66,616817821,78666,1040,461,579,74609797,27443356888,42191244279,6892990488,53579789920,26828.7,27451577453,0.157614,26.633731,11792,0,72,4,4,1,16,3,2,6,35890,5900,8,2,6,0,0,1,1,76,4,5890,14,4,3,2,17685,93700,7,3,77348,2,1,2,0,0,1,260,78,0,14,182,6588,14,2,13,0,0,0,39,0,0,0,6469,0,0,0,2,34,3,1,3,5,2,4,88031,5895,1,23544,2,7,1,0,1,2,0,4,116,0
54.21,221137974,44044,1033,454,579,159980636,31965822536,42901797986,2856701227,54146177080,27115.47,31964244361,0.607326,26.494017,5922,0,72,4,4,1,15,3,2,6,18299,2969,8,2,6,0,0,1,1,76,4,2943,14,4,3,2,8894,41345,7,3,26819,2,1,2,0,0,1,260,78,0,14,182,3658,14,2,13,0,0,0,39,0,0,0,3536,0,84473,0,2,34,3,1,13511,5,2,4,38396,2964,1,11805,2,7,1,0,1,2,0,4,115,0
53.03,746495811,68153,1034,455,579,76492950,29099834171,42316213675,7852808908,53653728440,26865.99,29119501278,0.123012,26.721788,13572,0,72,4,4,1,16,3,1,6,41229,6789,8,2,6,0,0,1,1,76,4,6785,14,4,3,2,20357,94757,7,3,76199,2,1,2,0,0,1,260,78,0,14,182,7480,14,2,13,0,0,0,38,0,0,0,7358,0,0,0,2,34,3,1,3,5,2,4,94727,6785,1,27086,2,7,1,0,1,2,0,4,116,0
55.82,641411329,79367,1030,451,579,73325663,28327037925,42054325711,7183647131,53442884500,26760.96,28336638215,0.207408,26.523527,12213,0,72,4,4,1,16,3,1,6,37152,6110,8,2,6,0,0,1,1,76,4,6105,14,4,3,2,18321,85112,7,3,78583,2,1,2,0,0,1,260,78,0,14,182,6800,14,2,13,0,0,0,39,0,0,0,6680,0,0,0,2,34,3,1,3,5,2,4,79039,6106,1,24370,2,7,1,0,1,2,0,4,115,0
55.32,255960998,54358,1038,459,579,167434167,34734233138,45680523586,3919993256,57774776780,28934.96,34735707184,0.533737,28.378596,4054,0,72,4,4,1,16,3,2,6,12694,2031,8,2,6,0,0,1,1,76,4,2015,14,4,3,2,6081,32269,7,3,103105,2,1,2,0,0,1,260,78,0,14,182,2722,14,2,13,0,0,0,39,0,0,0,2599,0,78343,0,2,34,3,1,35789,5,2,4,30304,2026,1,8088,2,7,1,0,1,2,0,4,116,0
54.69,221584258,39467,1039,460,579,163568317,31774883563,42990829556,2757316393,54264231240,27175.57,31764650296,0.640281,26.523096,5959,0,72,4,4,1,16,3,2,6,18441,2992,8,2,6,0,0,1,1,76,4,2958,14,4,3,2,8963,47628,7,3,31710,2,1,2,0,0,1,259,78,0,14,182,3683,14,2,13,0,0,0,39,0,0,0,3562,0,88106,0,2,34,3,1,25901,5,2,4,41673,2987,1,11916,2,7,1,0,1,2,0,4,115,0
55.21,261585190,54841,1033,454,579,164340585,35412062639,45759236518,4035364640,57836637740,28965.92,35437035765,0.569643,28.373014,4046,0,72,4,4,1,16,3,1,6,12660,2026,8,2,6,0,0,1,1,76,4,2016,14,4,3,2,6069,28208,7,3,102640,2,1,2,0,0,1,260,78,0,14,182,2716,13,2,13,0,0,0,38,0,0,0,2596,0,77464,0,2,34,3,1,33754,5,2,4,28261,2022,1,8062,2,7,1,0,1,2,0,4,116,0
57.12,612259276,76509,1041,462,579,75244475,27263553289,42015052599,6889126846,53350841120,26714.54,27262553101,0.192312,26.494566,11839,0,72,4,4,1,16,3,2,6,36025,5924,8,2,6,0,0,1,1,76,4,5912,14,4,3,2,17760,94247,6,3,74973,2,1,2,0,0,1,260,77,0,14,182,6615,14,2,13,0,0,0,39,0,0,0,6493,0,0,0,2,34,3,1,3,5,2,4,82502,5919,1,23658,2,7,1,0,1,2,0,4,115,0
53.63,759290683,65192,1041,462,579,78911690,28055482607,41914826761,7677771624,53132314560,26605.79,28048071127,0.265768,26.31282,13548,0,72,4,4,1,16,3,2,6,41127,6778,8,2,6,0,0,1,1,76,4,6770,14,4,3,2,20322,7886,7,3,69951,2,1,2,0,0,1,260,78,0,14,182,7468,14,2,13,0,0,0,38,0,0,0,7345,0,0,0,2,34,3,1,3,5,2,4,101243,6773,1,27070,2,7,1,0,1,2,0,4,116,0
54.84,224202962,43227,1032,453,579,161491151,32208732425,42848293279,2816109068,54139650420,27113.08,32216528386,0.602257,26.495966,5944,0,72,4,4,1,16,3,2,6,18395,2986,8,2,6,0,0,1,1,76,4,2951,14,4,3,2,8945,41590,7,3,37075,2,1,2,0,0,1,260,78,0,14,182,3675,14,2,13,0,0,0,39,0,0,0,3555,0,92901,0,2,34,3,1,23275,5,2,4,38618,2981,1,11872,2,7,1,0,1,2,0,4,115,0
